Product_ID,Product_Name,Product_Category,Age_Range,Opening_Balance,Minimum_Balance,Maximum_Balance,Currency,Interest_Rate,Monthly_Fee,Account_Maintenance_Fee,Key_Features,Digital_Channels,Card_Type,Target_Audience,Special_Benefits,Status
PROD011,Zenith Salary Savings Account,Savings Account,18+ years,0,0,No limit,Naira,Competitive monthly interest,0,0,"Zero opening balance, Salary domiciliation, Competitive interest, Access funds via digital channels","Zenith Mobile App, *966# EazyBanking, Debit/Prepaid cards",Debit and Prepaid Cards,Salaried individuals,"Waived account fees for salary earners, Earn interest on salary deposits",Active
PROD012,Save4Me Target Account,Target Savings Account,18+ years,"₦1,000","₦1,000",No limit,Naira,High competitive interest,0,0,"High interest rates, No withdrawal for 3 months, 3-12 months tenor, Minimum deposit ₦1,000",Digital banking platforms,N/A,Customers with specific financial targets,"High yield on target savings, Flexible deposit frequency (daily/weekly/monthly)",Active
PROD013,Timeless Current Account,Current Account,60+ years,0,0,No limit,Naira,0%,0,0,"Free banking services, Free SMS notification, Free chequebook, Free debit card, Free statement printing, No AMF",All digital platforms,Free Debit Card,Senior citizens aged 60 and above,"Priority service at branches, Travel and holiday offers",Active
PROD014,Timeless Savings Account,Savings Account,60+ years,0,0,No limit,Naira,Competitive,0,0,"Free banking services, Free SMS notification, Free chequebook, Free debit card, Free statement printing, No AMF",All digital platforms,Free Debit Card,Senior citizens aged 60 and above,"Priority service at branches, Travel and holiday offers, Earn competitive interest",Active
PROD015,Zenith Debit Card - Classic,Debit Card,18+ years,N/A,N/A,N/A,"Naira, Dollar, Euro, Pound",N/A,0,Annual card fee,"MasterCard/VISA/VERVE, 24-hour access, Instant balance access, Worldwide acceptance (except VERVE/Virtual)","ATM, POS, Internet Shopping",Classic Debit Card,"Current, Savings, SME account holders","3D online security (VbyV and Secure Code), Emergency card replacement, Zero lost card liability",Active
PROD016,Zenith Debit Card - Gold,Debit Card,18+ years,N/A,N/A,N/A,"Naira, Dollar, Euro, Pound",N/A,0,Annual card fee,"MasterCard/VISA, Higher transaction limits, 24-hour access, Worldwide acceptance, Emergency disbursement","ATM, POS, Internet Shopping",Gold Debit Card,Gold Premium account holders,"3D online security, Purchase insurance up to $2,000, Emergency card replacement",Active
PROD017,Zenith Debit Card - Platinum,Debit Card,18+ years,N/A,N/A,N/A,"Naira, Dollar, Euro, Pound",N/A,0,Annual card fee,"MasterCard, Highest transaction limits, Priority Pass access to 600+ VIP lounges, 24-hour access, Worldwide acceptance","ATM, POS, Internet Shopping",Platinum Debit Card,Platinum Premium account holders,"MasterCard Moments privileges, Purchase insurance up to $2,000, Priority airport lounge access",Active
PROD018,Zenith Prepaid Card,Prepaid Card,All ages,Variable,0,Variable,"Naira, Dollar, Euro, Pound",N/A,0,Card issuance fee,"MasterCard/VERVE/VISA, Controlled spending, Load funds as needed, Available to account and non-account holders","POS, ATM, Internet, Telephone, Mail Order",Prepaid Card,"Account and non-account holders, Parents for children","Total expense control, 24-hour customer service, SMS/Email alerts, Online transaction history",Active
PROD019,Zenith Credit Card - Classic,Credit Card,18+ years,N/A,N/A,Credit limit based on assessment,"Naira, Dollar",Variable APR,0,"Annual fee, Premium fee","MasterCard/Visa, Worldwide acceptance, Flexibility, Convenience, Superior 24/7 customer service","Internet Shopping, Cash withdrawals at ATMs, Payments at POS terminals",Classic Credit Card,Individuals seeking credit facility,"3D online security (Verified by Visa/MasterCard Secure Code), Emergency card replacement, Zero lost card liability",Active
PROD020,Zenith Credit Card - Gold,Credit Card,18+ years,N/A,N/A,Higher credit limit,"Naira, Dollar",Variable APR,0,"Annual fee, Premium fee","MasterCard/Visa, Worldwide acceptance, Higher credit limit, Superior services","Internet Shopping, Cash withdrawals at ATMs, Payments at POS terminals",Gold Credit Card,High-value customers,"Access to over 600 VIP Airport lounges at subsidized fee, Supplementary cards for family, 24-hour online transaction history",Active
PROD021,Zenith Credit Card - Platinum/Infinite,Credit Card,18+ years,N/A,N/A,Premium credit limit,"Naira, Dollar",Variable APR,0,"Annual fee, Premium fee","MasterCard, Highest credit limits, Worldwide acceptance, Premium cardholders charged premium fee","Internet Shopping, Cash withdrawals at ATMs, Payments at POS terminals",Platinum/Infinite Credit Card,Ultra high-net-worth individuals,"Access to over 600 VIP Airport lounges worldwide, Emergency card replacement/disbursement, Zero lost card liability",Active
PROD022,Zenith Internet Banking,Digital Banking,18+ years,N/A,N/A,N/A,Multi-currency,N/A,0,0,"Transfer funds locally/internationally, Request chequebooks/bank drafts, Confirm cheques, Card Dispense Manager, Pay bills",Web portal,N/A,Individual account holders,"Make transfers, View/download statements, Create electronic wallet, Request virtual card, Buy airtime & data",Active
PROD023,Zenith Mobile Banking App,Digital Banking,All ages,N/A,N/A,N/A,Multi-currency,N/A,0,0,"View all accounts (Current/Savings/Domiciliary/Fixed Deposit), Transfer funds, Activate/block cards, Card Dispense Manager",iOS and Android mobile app,N/A,Smartphone users with Zenith accounts,"Pay bills directly, Validate NUBAN numbers, Protected by password and mobile PIN, Repeat/Schedule payment",Active
PROD024,*966# EazyBanking,Digital Banking,All ages,N/A,N/A,N/A,Naira,N/A,0,0,"PIN protected, No data required, Perform banking from any mobile phone, USSD session-oriented service",USSD (*966#),N/A,All individuals with mobile phones,"Convenient, Fast, Secure, No internet needed, Available on all phones",Active
PROD025,ZIVA - Zenith Intelligent Virtual Assistant,Digital Banking,All ages,N/A,N/A,N/A,Naira,N/A,0,0,"WhatsApp-based banking, Account opening/reactivation, Balance enquiry, Money transfer, Airtime/data purchase",WhatsApp (07040004422),N/A,"Tech-savvy individuals, especially younger generation","Bills payment, Block card, Log complaints, Reset PIN, Real-time messaging, Alternative banking platform",Active
PROD026,Zenith Virtual Card,Virtual Card,18+ years,N/A,N/A,N/A,Naira,N/A,0,Nominal fee,"Designed for web transactions, Shop online (accepted locally), Pay bills and subscriptions, Request via Internet Banking or *966*2273#","Internet Banking, *966# USSD, Mobile App",Virtual Card (MasterCard and Visa variants),Online shoppers,"No need to visit branch, Instant issuance, Pay, Shop, and Transfer capabilities",Active
PROD027,GlobalPay - Zenith Payment Gateway,Payment Solution,18+ years,N/A,N/A,N/A,"Multi-currency (NGN, USD, GBP, EUR)",N/A,Transaction-based pricing,0,"Accepts VISA, MasterCard, Verve cards, International acceptance for VISA/MasterCard, Transaction monitoring, Audit trail","Website integration, Mobile app integration",N/A,Corporate bodies and merchants with/without websites,"Payment channels: Card, USSD, Bank, Transfer, Payment form/link for merchants without websites",Active
PROD028,ZIVA Stores,eCommerce Solution,18+ years,N/A,N/A,N/A,Naira,N/A,Subscription-based,0,"All-inclusive eCommerce solution, Increase profitability, reach, and global awareness, Smart business tools, Secure payment gateway",Web storefront,N/A,Businesses and merchants,"Seamless self-onboarding, Web store functionality, Inventory management, Payment invoice generation, Dashboard for real-time monitoring",Active
PROD029,Zenith Bank POS Terminals,Payment Terminal,18+ years,N/A,N/A,N/A,Naira,N/A,0,0,"Accepts local/international Visa and MasterCard, USSD & QR payments initiated on POS, Pay with Transfer available",Physical POS terminal,N/A,Merchants and business owners,"Merchant settlement: Bulk T+1, Sameday (7pm), Instant (Realtime/Batched), Regular T+1 (Local), T+2 (International), Real-time transaction viewer",Active
PROD030,Scan To Pay (QR Payments),Payment Solution,All ages,N/A,N/A,N/A,Naira,N/A,0,0,"Fast, simple, secure payment method, Scan QR code using smartphone, Alternative to cash/card, No network challenges",Zenith Mobile App,N/A,Customers and merchants,"Enrollment free via mobile app, Convenience, Settlement is instant, No cash/card needed",Active
PROD031,Personal Loan,Loan,18-60 years,N/A,N/A,Variable,Naira,Competitive,0,0,"Financing acquisition of personal assets and household items, For staff of corporate customers",Branch application,N/A,Staff of corporate customers,"Acquire personal assets, Flexible repayment",Active
PROD032,Education Loan,Loan,All ages,N/A,N/A,Variable,Naira,Competitive,0,0,"Finances tuition and school fees, Payment made directly to schools",Branch application,N/A,Students and parents,"Direct school payment, Flexible tenors",Active
PROD033,Household Acquisition Loan,Loan,18-60 years,N/A,N/A,Variable,Naira,Competitive,0,0,"Finances purchase of household items, For existing bank customers, Staff of other companies eligible",Branch application,N/A,Existing bank customers and staff of companies,"Acquire household items, Flexible payment plans",Active
PROD034,Auto Loan,Loan,25-60 years,N/A,N/A,Variable,Naira,Competitive,0,0,"Finances purchase of vehicles, For staff of corporate customers",Branch application,N/A,Staff of corporate customers,"Own a vehicle, Flexible repayment terms",Active
PROD035,Salary Advance,Loan,18-60 years,N/A,N/A,Percentage of net monthly salary,Naira,Low interest,0,0,"Salary-based temporary overdraft facility, Percentage of net monthly salary, Cycles out with next salary payment",Branch application,N/A,Salaried employees,"Finance personal expenses, Short-term liquidity, Automatic repayment",Active
PROD036,SME Loan,Business Loan,18+ years,N/A,N/A,"₦2,000,000",Naira,32% per annum,0,0,"Finance small and medium enterprises, Sectors: Beauty/Style, Confectionery, Fitness, 12-month tenor",Branch application,N/A,SME owners in approved sectors with Zenith account and electronic collection channels,"Business growth capital, Sector-specific support",Active
PROD037,Z-Woman Loan,Business Loan,18+ years,N/A,N/A,"₦10,000,000",Naira,18% per annum,0,0,"For female-owned businesses (55%+ shareholding), All sectors, Business expansion, Working capital, Asset acquisition",Branch application,N/A,Female-owned businesses with 55%+ shareholding,"Support women entrepreneurs, 24-month maximum tenor, Infrastructure upgrade",Active
PROD038,Timeless Pension Advance Plus,Loan,60-70 years,N/A,N/A,50% of Annual Pension Receivable Sum,Naira,16% per annum,0,0,"For Timeless account customers, Monthly pension domiciled with bank, 12-18 months tenor, Max 33% of monthly pension repayment",Branch application,N/A,"Pensioners receiving monthly pension ≥₦500,000","Liquidity for senior citizens, Monthly repayment structure",Active
PROD039,Timeless Pension Advance,Loan,60-70 years,N/A,N/A,100% of Monthly Pension Value,Naira,16% per annum,0,0,"For Timeless account customers, Monthly pension domiciled within bank, 30-90 days tenor, Min 30% of monthly pension repayment",Branch application,N/A,Pensioners receiving consistent monthly pension,"Short-term liquidity, Quick repayment period",Active
PROD040,Remita Loan,Instant Loan,18-60 years,N/A,N/A,33.3% of net salary,Naira,4.65% flat rate,0,0,"30-90 day instant loan via *966*11# USSD, For Federal/State government MDA staff receiving salary via Remita",*966# EazyBanking USSD,N/A,Federal and State government MDA staff,"Self-service, No forms needed, No approvals, Instant disbursement, 30-90 day repayment",Active
PROD041,ZMoney - Agency Banking Platform,Agency Banking,18+ years,N/A,N/A,N/A,Naira,N/A,0,0,"Expand financial services demand, Decongest branches, Reduce cost to serve, Financial inclusion, Low-cost market penetration",Agent terminals,N/A,"Agents in rural, unbanked, and underserved areas","Account opening, Cash withdrawal/deposit, Funds transfer, Bill payment, BVN enrollment, Card issuance, Transaction commission",Active
PROD042,Zenith Diaspora Banking,International Banking,18+ years,Zero,0,No limit,"USD, GBP, EUR",Interest payable on foreign currency fixed deposits,0,0,"Seamless account opening, Diaspora accounts (Savings, Current, Domiciliary - USD, GBP, EUR), Mortgages, Financial advisory","Internet Banking, Mobile App",Courier of ATM card and physical token worldwide,Nigerians in diaspora,"Direct remittance to account, Transact safely from anywhere, Zero account opening, Dedicated relationship managers, 24-hour contact support",Active
